id,platform,theme,class,text
852,playstore,fit_sizing_anxiety,POST-PURCHASE,"I have been shopping on Myntra for quite some time, and my overall experience has been very good. The app is easy to use, with a wide variety of fashion, beauty, and lifestyle products from trusted brands. Product descriptions, size guides, and customer reviews help in making the right purchase decisions. The delivery service is usually fast, and the products I have received have always been genuine and matched the images shown on the app. The return and exchange process is also simple and hass"
1345,playstore,fit_sizing_anxiety,POST-PURCHASE,"The app is super smooth and easy to navigate, making shopping really enjoyable. There’s a huge variety of brands and styles, and I always find exactly what I’m looking for. The deals and discounts are amazing, especially during sales, and the delivery is fast and reliable. What I appreciate the most is the easy return and exchange process—it’s completely hassle-free. The product quality has always been great, and the size guides are accurate too. Overall, Myntra has become my go-to app for fas"
1514,playstore,fit_sizing_anxiety,POST-PURCHASE,"Initially, they delivered the wrong size, but even after I got the correct one, it was still a bit loose for me. I exchanged it, and the whole process was damn smooth. So yeah, I can vouch for Myntra’s return policy."
1123,playstore,fit_sizing_anxiety,POST-PURCHASE,"Very disappointing experience with Myntra. I requested an exchange for a size issue even though the product was unused and in perfect condition, but my request was still rejected after multiple follow-ups. Customer support initially gave hope but later denied the request without a proper resolution. This kind of inconsistency is really frustrating for customers. Expected better service from such a big platform. Not satisfied at all."
1055,playstore,fit_sizing_anxiety,POST-PURCHASE,"Good quality cotton shirt. Their exchange process is also good if there are size issue after raising request they pickup the wrong size and give the right size same day. i suggest u to go a size bigger than usual because the fabric is tight and muscle fit"
680,playstore,fit_sizing_anxiety,POST-PURCHASE,"Worst app for shopping. They sell you products , then if you have any size issues, they don't exchange the product in time , and their delivery agents don't pickup calls, neither call us back whenever they come to deliver and see the door closed , and when exchange period is over, they deny exchanging the product altogether. Bloody money looting strategy."
1559,playstore,fit_sizing_anxiety,POST-PURCHASE,"App is gud . But sometimes you order a product n doesn't fits you well n size xchange is also out of stock n we hve to return it ,n sometimes few product does not have that quality which you expect n then you have to return the product , After this myntra considers you a failed customer who returns frequently n deducts xtra ₹50 + handling charge s total upto ₹80 almost . Who will shop next time from myntra . You don't check profile of a customer who purchasd multiple times frm myntra but returns"
1693,playstore,fit_sizing_anxiety,POST-PURCHASE,"I am using this app for many many years. Nearly 80% of my wardrobe is from Myntra. But only problem is the size charts are not correct many times. Due to which I will have exchange or return if I dont get next size. Else I'm a avid customer of Mytra. Recently the exchange feature seems to be not working as expected. I am trying to raise a style exchange, but getting error - Exchange is no longer active. But the exchange period is still open."
1513,playstore,fit_sizing_anxiety,POST-PURCHASE,"the worst app ever. I placed an order there was size issue I requested for return. it was supposed to be picked up after 2 days. nobody came to pick up and it was on hold. The delivery agent mentioned it did not follow the quality check. how come it will meet the quality check if no one comes to pick up the order"
1466,playstore,fit_sizing_anxiety,POST-PURCHASE,"Feedback: Absolutely loved this kurta set! 💖 The fabric is super soft and feels really comfortable on the skin, perfect for long hours of wear. The fit is true to size and gives a very elegant look without being too tight or loose. The color is exactly the same as shown in the pictures, which is rare and such a relief! The design and detailing make it look classy and perfect for both casual outin❤️💖💖💖 it comes with lots of offers which I really liked ☺️🤭"
1219,playstore,fit_sizing_anxiety,POST-PURCHASE,"I order one jeans but the size doesn't fit so I exchange but every time delivery person told something happened it's been a month I also try to cancel but they cancelled my cancellation request what should I do for this jeans which doesn't fit me very disappoint"
1695,playstore,fit_sizing_anxiety,POST-PURCHASE,"its amazing product 😍😍😍😍😍😍😍 I am very happy 😁😁😁 to receive this all is good size , fitting ☺️☺️ , quality. it is exactly same product as shown in picture The fabric feels soft yet strong, providing a perfect balance between comfort and durability. The material is breathable and suitable for all seasons.The design is modern and stylish. The color does not fade easily and matches well with different outfits The jeans offer an excellent fit. They are true to size and hug the body perfect"
1392,playstore,fit_sizing_anxiety,POST-PURCHASE,"the jeans are well fitting and true to size,I love them..they length is just a little bit long but that makes them even more beautiful"
547,playstore,fit_sizing_anxiety,POST-PURCHASE,"Myntra is a really smooth and reliable shopping app. The interface is clean and user-friendly, making it easy to browse and find products. The collection is always updated with the latest fashion trends, which I really like. Delivery is usually on time, and the packaging is decent. The return and refund process is also quite hassle-free, which builds trust. The size guide helps a lot in choosing the right fit. Sometimes the prices feel a bit high, but with discounts and offers, it becomes wort"
910,playstore,fit_sizing_anxiety,POST-PURCHASE,"My shopping experience with Myntra has been convenient and enjoyable. The app is easy to use, with a wide variety of fashion products from well-known brands. The search and filter options make it simple to find the right products, and detailed descriptions, customer reviews, and size guides help in making informed purchase decisions. The ordering process is smooth, delivery is usually on time, and the return and exchange process is quick and hassle-free."
1430,playstore,fit_sizing_anxiety,POST-PURCHASE,"they don't accept returns first they will send a cheap quality wrong size product then they will take your product for return and then they'll say it failed quality check and boom you lost your money for no reason at all . totally frustrated and never ordering again"
1459,playstore,fit_sizing_anxiety,POST-PURCHASE,"Love the variety and the high-quality product photos. Returns and refunds are always seamless, which is the most important thing for me. The AI search feature makes finding specific styles so much easier. I’ve tried many apps, but Myntra’s curation is top-tier. I never have to worry about the authenticity of brands like Nike or Mango. The M-Express tag is great for delivery, and the customer support has always been helpful if I had a size issue. Best shopping experience overall."
1057,playstore,fit_sizing_anxiety,POST-PURCHASE,"literally!! The worst experience ever I've never expected such type of behaviour myntra I had trust in you but now I've ordered a ruffel bodycon dress and the delivery came on 24 and when I saw the dress it was too small so I've decided to return it and get my refund then I've done that but there is no response from myntra at first when I called the help line number they told me that my problem will be resolve but till now these is no msg and they're tell me that there is no updates abt order"
963,playstore,fit_sizing_anxiety,POST-PURCHASE,"Myntra is one of the better choices in India for clothes, shoes and fashion, especially when buying from established brands. However, I'd still check the seller, product reviews/photos, return policy and size chart before ordering expensive items."
1324,playstore,fit_sizing_anxiety,POST-PURCHASE,"Multiple Horrible Experiences - They mark pre-paid products delivered even before actually delivering & then the customer needs to keep chasing for getting the product. - They simply don't check the size of the product before delivering. Even when Size Exchange was requested, they still gave the wrong size. Not sure if they have any sorts of checks or quality control system at all."
1318,playstore,fit_sizing_anxiety,POST-PURCHASE,"The quality of myntra service is degrading quickly. they refused an exchange due to MRP change in price recently so I had to return the product even though my size was available then recently cancelled puma shorts I ordered without any reason. they told me that seller didn't fulfill the order. and so on. these issues keep coming up recently."
1540,playstore,fit_sizing_anxiety,POST-PURCHASE,"hi, while shopping for trousers or pants, you should add an option in filters where we can select the length of the trousers as well. The length of the trousers ( inseam ) is as important as waist size for tall people. and going through the size chart for every product is a headache."
991,playstore,fit_sizing_anxiety,POST-PURCHASE,"Very disappointing after-sales service. Myntra delivered my product without the MRP tag. When I requested an exchange due to size issue, within the allowed period, the delivery partner refused because the MRP tag was missing—the same tag that was never provided by Myntra. Customer support promised a reattempt within 48 hours, but the issue was never resolved and the exchange window expired due to their delay. The exchange process and customer support were extremely frustrating."
394,playstore,fit_sizing_anxiety,POST-PURCHASE,"It's been more than 20 days for an order...first it was the wrong size delivered then the wrong article delivered & now when I have raised the return & refund request...it's pending in processing ? Called up multiple times the customer care via app but no use."
624,playstore,fit_sizing_anxiety,POST-PURCHASE,"The Worst e-commerce application I have ever seen. Not complaining about the products but the service, delivery, exchange and return procedures are the worst. They have got the lame, unethical , insincere delivery executives. It's been one month since I asked for the return, the product has not been picked up though I kept for the return in 2 minutes after receiving the product as I got the wrong size. The wait is more agonifying. These people have to learn some from the best Amazon."
825,playstore,fit_sizing_anxiety,POST-PURCHASE,"A contemptible app. Hated it. I wanted to exchange a ring because of the size issue. But i couldn't because it was not covered under exchange policy. It didn't even allow me to return it. If clothes and electronic items can be returned and exchanged then why not rings ; after all they are not damaged. Disdainful experience."
928,playstore,fit_sizing_anxiety,POST-PURCHASE,"Myntra has been one of my favorite shopping apps. I really like that it rewards users with MynCash for reviews and ratings, which encourages genuine feedback. The express delivery is fast and reliable, and the product quality is usually excellent. Even if the wrong item is delivered or there's a size issue, the return and exchange process is smooth and hassle-free. Overall, it's a trustworthy platform with great service, good deals, and a seamle."
909,playstore,fit_sizing_anxiety,POST-PURCHASE,"Great collection of brands and very easy to navigate the UI. However, the size charts for certain categories can be inconsistent, and I would love to see more filtering options for budget ranges. Delivery is usually on time, but customer support can be slow to resolve return queries"
469,playstore,fit_sizing_anxiety,POST-PURCHASE,"my experience with myntra is good .the product quality is excellent and the service is also fantastic.using size chart l placed many orders and i received the correct size . keep continuing services like this . l'm glad to shop with you and I love shopping with you . keep the work same like this . much love"
543,playstore,fit_sizing_anxiety,POST-PURCHASE,"Very poor experience with Myntra. I requested an exchange due to size issue, but it failed because of a tag number mismatch from their side. Even after multiple complaints and waiting for more than a week, the issue is still not resolved. Now even the return is not possible because of the same problem. This is not my mistake, but I am stuck with a product I cannot use. Very disappointing service and support. Not reliable at all."
953,playstore,fit_sizing_anxiety,POST-PURCHASE,"Great Shopping Experience Myntra is my favorite platform for buying clothes online. The prices are good, the quality is reliable, and the delivery is usually on time. If there's a size issue, damage, or any other problem, the exchange and refund process is quick and hassle-free. Overall, I've had a great shopping experience and would definitely recommend Myntra.😍"
915,playstore,fit_sizing_anxiety,POST-PURCHASE,"⭐⭐⭐⭐⭐ I had a really great shopping experience with Myntra. The app is easy to use, and I found exactly what I was looking for at a good price. The product quality was excellent and matched the images and description perfectly. Delivery was quick, and the packaging was neat and secure. I also liked the variety of brands and styles available, making it easy to compare different options before buying. The size guide was accurate, and the fit was perfect. The return and exchange process is simple"
901,playstore,fit_sizing_anxiety,POST-PURCHASE,"Worst experience when I tried to exchange a product due to size issue. They cancelled exchange due to unnecessary and invalid reasons multiple times. Ultimately I had to opt for return rather than exchange. High time you change your delivery partner."
27,appstore,fit_sizing_anxiety,POST-PURCHASE,"Indo Era kurta set. Info era is my favourite kurta set brand ❤️❤️  Luvd the stuff and colour combination…. Full size Duptta  True to size … you can definitely purchase this without any second thought ❤️❤️👍🏻👍🏻"
1184,playstore,fit_sizing_anxiety,POST-PURCHASE,"I had best experience in buying Branded products and returning if there are size issues or product is not up to the mark. refund is also quick"
392,playstore,fit_sizing_anxiety,POST-PURCHASE,"''Nice fit and great material! The color is exactly like the picture on the app. True to size. Highly recommend!"""
489,playstore,fit_sizing_anxiety,POST-PURCHASE,"awful service. they don't respond no matter how many times you click on the ""call me now"" option. they don't provide any help regarding any queries. they refused to exchange a product saying it doesn't meet ""quality check"" despite the fact that all the labels were attached and the product wasn't even touched, I only had a size issue. now the product is just lying there with no option of returning it or exchanging it."
521,playstore,fit_sizing_anxiety,POST-PURCHASE,"‎ ‎Myntra used to be one of the most trustworthy and genuine online shopping platforms. Earlier, people relied on it because the products matched the pictures, the quality was decent, and returns or exchanges were smooth. But lately the experience has gone downhill. 😐Most of the items shown on the website look completely different from what you receive. The size charts are unreliable, so even if you follow them properly, the fit is often wrong. On top of that, the refund and exchange process fe"
569,playstore,fit_sizing_anxiety,POST-PURCHASE,"Very disappointing return experience. Return was requested on 3 June and marked ""Out for Pickup,"" but the pickup failed and keeps getting delayed. The app shows reattempts, but no actual pickup happens. Customer support only gives generic replies with no clear resolution or timeline. A simple return process has become unnecessarily frustrating. For a company as large as Myntra, I expected much better after-sales service. Please improve your return logistics and customer support."
1619,playstore,fit_sizing_anxiety,POST-PURCHASE,"my experience was nice the jeans quality was nice but I had to return because it was not my size 😞 but the product are were nice"
661,playstore,fit_sizing_anxiety,POST-PURCHASE,"I had ordered some t shirts n had to exchange two of them because of size issue. The delivery person picked up both exchange items at the time of delivery of one of them. N when i registered the complaint, i get the response that no extra item was picked. And nothing can be done further. As a customer, i feel cheated because i neither get the t shirt nor the refund. Extremely bad experience. If it was possible, i would have given a negative rating."
675,playstore,fit_sizing_anxiety,POST-PURCHASE,"Myntra was good. But recently I received a product with no price tag. It was small too so i tried returning it. But they declined it saying there is no price tag. When I tell them that I received the product without a tag they claimed that it was present when they did quality check before shipping. It was clearly not there. Worst experience ever. Customer care service was of no help at all making up many excuses. Now I'm stuck with a product too small for me. Never shopping with Myntra again."
773,playstore,fit_sizing_anxiety,POST-PURCHASE,"I had ordered Allen Solly shoes from this app. Not only did I get shoes at a price higher than what Allen Solly itself is selling, but I also received a size smaller than what I had ordered. I had put in a request for return on this app within a few minutes after receiving the product and accordingly their delivery person was there to receive the shoes on the same day. After a shammy check he said he won't take back the shoes. And now I'm stuck with this product and so is my money with Myntra."
798,playstore,fit_sizing_anxiety,POST-PURCHASE,"If you have any problems or disputes with your orders they will not help you due to 'technical difficulties' so you're stuck with products you don't really want I tried to exchange a wrong size and had so much problems. Don't ever make a mistake of trying to exchange anything. Oh you can't reached them by emails only snail mails I guess. CUSTOMER CARE SUCKSSSSSS!"
800,playstore,fit_sizing_anxiety,POST-PURCHASE,"Wrong sized item was delivered without tag which appears as used and they are not returning it saying that there's no tag which wasn't delivered in the first place. The packet is intact with the price tag which was shown to the delivery guy. Don't try to resort to unfair means by trying to cheat customers unnecessarily by playing with their hard earned money. It won't do you any good. Mend your ways.Multiple options exist in the E-commerce market.Congrats on losing customers forever."
837,playstore,fit_sizing_anxiety,POST-PURCHASE,"I exchanged a few items twice because of size issue but it is showing that I have to pay 200 convince fee for next 20 orders. Why??? It's showing that my returns are higher than an average customer. BUT I NEVER RETURNED ANYTHING. I have to say that myntra does FAKE AVERTISING. You guys say free exchange or return with full refund. But you don't tell you are going to force the customer to pay a total of 4000 if they dare to have a size issue. I deleted the app 2 years ago, have not used it since."
962,playstore,fit_sizing_anxiety,POST-PURCHASE,"I was shopping from my other Myntra account. I've ordered pants twice, and in both cases the tag isn't attached to the pants didn't have the MRP mentioned on it. I cancelled the order because of a size issue. Is the missing MRP tag the reason why you are not accepting the return?"
921,playstore,fit_sizing_anxiety,POST-PURCHASE,"I had a great shopping experience on Myntra. The app is easy to use, with a wide variety of fashion products available at reasonable prices. The product descriptions and size guides were accurate, making it easy to choose the right item. Delivery was quick, and the product arrived in excellent condition. The quality matched the images shown on the app, and the return process was simple and hassle-free. Overall, Myntra is a reliable platform for online shopping."
927,playstore,fit_sizing_anxiety,POST-PURCHASE,"Perfect fit and quality Loved the products. Fabric is soft, color is exactly like the pictures, and the fit is true to size. Delivery from Myntra was super fast. Stitching is neat with no loose threads. Will definitely order more from this brand. Fast delivery by Myntra. Happy purchase. Exactly as shown. Good material, nice finish. Value for money. Authentic products, neatly packed. Delivery was quick. Recommended."
929,playstore,fit_sizing_anxiety,POST-PURCHASE,"I've had a great experience shopping on the Myntra app. The interface is easy to use, and there is a wide range of genuine fashion products from popular brands. Product descriptions and size guides are helpful, and the delivery is usually on time. Returns and exchanges are simple and hassle-free. The discounts and deals are an added bonus. Overall, it's a reliable app for buying clothing, footwear, and accessories. Highly recommended!"
1256,playstore,fit_sizing_anxiety,POST-PURCHASE,"I had ordered a product and wrong Size was delivered to me. Requested for exchange But without any information they cancelled the Exchange product."
968,playstore,fit_sizing_anxiety,POST-PURCHASE,"pathetic service I'm getting. Their vendors are sending wrong products all the time and they are charging return fees from the users end. if a user is getting wrong size product, will the user will keep the product or return it? simple common sense Now that's their strategy to earn money by troubling the user"
1021,playstore,fit_sizing_anxiety,POST-PURCHASE,"worst app ever.. I have ordered a shoes for my engagement where it required an exchange due to size issues. It took them 3 weeks to respond properly by the time my engagement was already done. very pathetic customer service they would have atleast provided me some compensation for the inconvenience it has caused me since I don't want to return the product. bad service"
1041,playstore,fit_sizing_anxiety,POST-PURCHASE,"Large collection of fashion brands and styles. Frequent discounts and sales (especially End of Reason Sale). Easy-to-use app with personalized recommendations. Fast delivery in many locations. Easy returns and exchanges for most products."
1093,playstore,fit_sizing_anxiety,POST-PURCHASE,"I had ordered for a Powerlook Casual Shirt however the size was larger than my actual size. As we understand that brand to brand the size differs a bit. While I wanted to exchange the product with one size smaller, to my surprise the product was showing undeliverable @ my address. While raising the concern with Myntra Customer Care team, they ensured my exchange order execution within 48 hrs. Thanks Myntra for the delightment 😊"
1104,playstore,fit_sizing_anxiety,POST-PURCHASE,"Myntra has been my go-to fashion app for a while now. They offer fantastic discounts, especially during sales, and the quality of the products has been consistently good. The exchange policy is also very seamless if something doesn't fit quite right. Dropping one star just because standard delivery can occasionally take a little longer than expected, but overall, it's a great experience!"""
1272,playstore,fit_sizing_anxiety,POST-PURCHASE,"If by mistake you ordered a wrong size and you want it to be returned then it's a game of cat and mouse. poor response"
1389,playstore,fit_sizing_anxiety,POST-PURCHASE,"good product but little size issue.. pls buy a smaller size than regular i m facing lot of issues regarding delivery and return/ replacement on myntra... kindly provide better service it's disgusting and highly unprofessional"
1410,playstore,fit_sizing_anxiety,POST-PURCHASE,"myntra uses the wrong size charts on most of the products, be ready to receive the wrong size every time and then get charged for their own mistake and expect zero customer care support, there is no way you can talk or text an executive, talk to the machine and answer yes/no or a few given options. it's getting worse with every purchase. now prefer meesho over myntra."
1411,playstore,fit_sizing_anxiety,POST-PURCHASE,"""Excellent shopping experience with Myntra. The product was genuine, delivery was quick, and the size chart helped me choose the correct fit. The packaging was good and the overall experience was smooth. Very satisfied with the purchase. Thank you, Myntra!"" A detailed, genuine review is always appreciated. Sometimes companies may offer coupons, rewards, or promotional benefits to customers, but it shouldn't be expected. i love genuinely thank you so much myntra I love shopping with you ........❤"
1414,playstore,fit_sizing_anxiety,POST-PURCHASE,"This is an amazing platform! I had ordered clothes in the wrong size, but when I requested an exchange, the pickup was scheduled after 5 days. On the same day as the pickup, they delivered the shirt in the correct size. The exchange process is very easy. Thank you myntra..."
1632,playstore,fit_sizing_anxiety,POST-PURCHASE,"""Absolutely love this product! The fabric quality is excellent, and it fits perfectly as described in the size chart. The color looks exactly like it did in the pictures. Highly recommended"
1684,playstore,fit_sizing_anxiety,POST-PURCHASE,"I recently purchased these trousers from Myntra and I’m genuinely impressed with the overall quality. The fabric feels premium, soft, and breathable—perfect for both office wear and casual outings. The stitching is neat and durable, giving it a polished and classy look. The fit is exactly as mentioned in the size chart—true to size and very comfortable for all-day wear. It doesn’t lose shape after washing, and the color remains intact, which is a big plus. The design is versatile and pairs well"
881,playstore,fit_sizing_anxiety,POST-PURCHASE,"""I have been using Myntra for years. They have a great collection of clothes and trendy brands. Delivery is usually fast, and the return process works smoothly when something doesn't fit. Great app for fashion shopping!"""
1177,playstore,fit_sizing_anxiety,POST-PURCHASE,"This is the worst app when it comes to returns their customer service agents are absolutely useless they can't understand small issues and they repeat the same mistake all the time ."
1202,playstore,fit_sizing_anxiety,POST-PURCHASE,"Site is very good for brands, variety, choice, quality and pricing. Size exchange or return is absolutely terrible. Horrible experience in shoes and clothes size issues."
1209,playstore,fit_sizing_anxiety,POST-PURCHASE,"too much fees. i wanted to exchange the product, but the size i want is not available. so I had no option but to return. and myntra deducted return fee. not fashion but fee deduction app"
1204,playstore,fit_sizing_anxiety,POST-PURCHASE,"I am extremely disappointed with my experience with Myntra. I ordered a dress on Saturday, and when it arrived, I found that it was too loose and large for me. I placed a return request on the very same day. However, my return request has been cancelled multiple times without any valid reason. What is even more frustrating is that I never received any call, message, or notification from the pickup executive. I spoke to their supervisor, wrote an email informing the same and received no response."
1175,playstore,fabric_quality_ambiguity,POST-PURCHASE,"Got a very thin and transparent product with a different design. Seems to be already used as it's not even having tags when delivered. Myntra declined to take it as a return as it's not having tags. Worst behaviour and experience with the 1st order itself. Not going to place any other order. Even after sending the mail to mention email in comment, i didn't get any favour. Myntra sends products which doesn't qualify quality check by their team itself and customer will be blamed and no refund."
274,youtube,fabric_quality_ambiguity,POST-PURCHASE,"Toh last dupata bhi see through tha baat yeh thi pehle sb suits mein covering thi na"
1765,playstore,fabric_quality_ambiguity,POST-PURCHASE,"Kapda bahut patla hai, photo me acha lag raha tha real me sasta material hai."
1767,playstore,fabric_quality_ambiguity,POST-PURCHASE,"material bilkul see-through hai, bahar pehen ke nahi ja sakte isko."
1009,playstore,fabric_quality_ambiguity,POST-PURCHASE,"Very disappointing experience. I have ordered products 3–4 times from Myntra, but each time I had to return them because the fabric quality was poor and did not match my expectations. The product images look much better than the actual items received. It has been a waste of time and effort. Myntra should pay more attention to quality control."""
551,playstore,fabric_quality_ambiguity,POST-PURCHASE,"Please don’t buy anything from Myntra. If you return the product, they deduct the “Bank Discount Applied” amount from your refund. This wasn’t clearly mentioned in the return policy or terms when purchasing. Only when you try to return the item do they inform you about the deduction. This is not transparent pricing or a fair return policy - it’s misleading and confusing for customers. By the way, their customer care is a bot. Good luck with that too."
1665,playstore,fabric_quality_ambiguity,POST-PURCHASE,"highlight specific details like fabric quality, sizing accuracy, fit, and color fidelity versus the product images. Include unboxing details such as delivery speed and packaging."
1052,playstore,fabric_quality_ambiguity,POST-PURCHASE,"Excellent shopping experience! The product quality is exactly as shown in the pictures. The fabric is premium, the fitting is perfect, and the packaging was neat. Delivery was on time, and the overall experience was smooth. Very satisfied with my purchase. Highly recommended!"
1229,playstore,fabric_quality_ambiguity,POST-PURCHASE,"Excellent ! The fabric quality is very good, comfortable to wear, and exactly as shown in the pictures. The fitting is perfect, and the overall look is stylish and elegant. The stitching and finishing are also impressive. Completely satisfied with the purchase and would highly recommend it"
1304,playstore,fabric_quality_ambiguity,POST-PURCHASE,"I had a great shopping experience on Myntra. The top I ordered looked exactly like the pictures and the quality was really impressive. The fabric is soft, comfortable, and perfect for daily wear. The fit is true to size and suits me very well. Delivery was on time and packaging was neat. Overall, I’m very happy with my purchase and would definitely recommend Myntra for trendy and reliable fashion."
1667,playstore,fabric_quality_ambiguity,POST-PURCHASE,"I am really happy with my purchase from Myntra. The dress quality is honestly amazing and feels very premium. The fabric is soft, comfortable, and exactly like shown in the pictures. The fitting is perfect and the stitching is also very neat. Totally worth the price. I am fully satisfied and would definitely recommend Myntra to others."
1396,playstore,fabric_quality_ambiguity,POST-PURCHASE,"""Beautiful purple cotton dress. The fabric is soft, comfortable, and breathable. The color looks exactly as shown in the pictures. The fitting is good and perfect for daily wear as well as casual outings. Overall, a great purchase and value for money."""
1564,playstore,fabric_quality_ambiguity,POST-PURCHASE,"I have ordered 5 products from Myntra and I liked the quality of all of them very much, just as shown in the picture, the quality is good, the fabric is good and the price is exactly the same and the best thing I liked about Myntra is their exchange and refund policy is the best, I got my money and the exchanged product on time, thank you so much Mantra, I will tell all my friends to definitely shop from Myntra."
491,playstore,fabric_quality_ambiguity,POST-PURCHASE,"I have been shopping on Myntra since 2009–10 and was a loyal customer for over 15 years. Recently, the quality has declined significantly. Many listings create the impression of premium brands, but the products I received often came from unfamiliar labels with poor stitching, finishing, and fabric quality. Returns and customer support have also been frustrating. Sadly, I no longer trust the platform and have decided to stop shopping here."
332,playstore,fabric_quality_ambiguity,POST-PURCHASE,"ye bhi nhi de rha h kapda acha"
499,playstore,fabric_quality_ambiguity,POST-PURCHASE,"Very disappointed with this purchase. I used a coupon that said “non-returnable but exchangeable,” so I expected I could at least exchange the product if needed. However, after receiving it, there was a fitting issue and no exchange option was available. Customer care said it’s just the coupon name, which is misleading. Also, the product still shows “returnable till a date,” creating confusion. Not transparent at all."
780,playstore,fabric_quality_ambiguity,POST-PURCHASE,"Be very careful with online orders, especially the ones of higher value. The courier of Myntra will try to replace the order with an inferior/duplicate product or completely deliver somebody else's order. If one is not cautious, you might land up accepting the wrong order. Once you are able to see through things and cancel the product, Myntra exposes its intent by siphoning off the discounted amount added with the platform fees in the barge of illegal and hidden 'return policies'. Save yourself"
874,playstore,fabric_quality_ambiguity,POST-PURCHASE,"Really happy with my purchase! ❤️ The shirt is comfortable, stylish, and fit perfectly. The fabric quality is good and they look exactly like the pictures. Perfect for everyday wear. Totally worth the money! ✨"
883,playstore,fabric_quality_ambiguity,POST-PURCHASE,"I’ve been shopping on Myntra for a while now, and it consistently delivers a smooth experience. The selection of brands and trendy styles is impressive. The app interface is super easy to navigate, and the filtering options make finding the right fit simple. My package arrived on time and was securely packed. The fabric quality matched the product description on the app. Highly satisfied with my purchase and will definitely keep coming back"
977,playstore,fabric_quality_ambiguity,POST-PURCHASE,"Very disappointed with Myntra. I ordered these pants because I trusted Myntra’s quality, but the product I received is extremely poor. The color is only 10% similar to what is shown, the fabric quality is very bad, and the stitching is even worse. Myntra has such a big name, but selling such poor-quality products is damaging its reputation and customer trust."
1662,playstore,fabric_quality_ambiguity,POST-PURCHASE,"evrything is just awesome like delivery system,myntra help center, return system... cloth quality.... everything 👍👍💕"
1768,appstore,fabric_quality_ambiguity,POST-PURCHASE,"bohot chubne wala kapda hai, itchy feeling aati hai pehen ke waste of money."
1636,playstore,fabric_quality_ambiguity,POST-PURCHASE,"I ordered several shirts from Myntra and I’m very satisfied with the quality. The fabric is comfortable, the stitching is neat, and the fitting is perfect. Delivery was also on time. Overall, it was a great shopping experience. I would definitely recommend Myntra and will order again.”"
1738,appstore,fabric_quality_ambiguity,POST-PURCHASE,"Very satisfied.. All products are original. Delivery is quick. Very transparent in the app. The products I returned or exchanged were handled with a minimum of fuss.  Couldn’t be happier with their professionalism"
